,0
594,8141.49
595,7939.64
596,7595.46
597,7361.55
598,7303.06
599,7099.01
600,6855.44
601,6291.15
602,5969.07
603,5877.61
604,6011.74
605,6306.38
606,6717.58
607,6944.82
608,6802.86
609,6375.77
610,5993.93
611,5776.46
612,6003.47
613,5834.93
614,6221.97
615,6586.7
616,7093.05
617,7607.49
618,7819.17
619,7576.58
620,7296.15
621,7106.39
622,6951.89
623,6726.95
624,6510.86
625,6104.17
626,5797.34
627,5743.29
628,5777.62
629,6005.19
630,6294.13
631,6484.86
632,6307.94
633,5905.99
634,5633.86
635,5501.29
636,5468.27
637,5649.27
638,5864.97
639,6449.25
640,7078.11
641,7706.49
642,7991.99
643,7725.66
644,7386.72
645,7147.6
646,6986.99
647,6761.52
648,6519.24
649,6213.03
650,5949.48
651,5927.4
652,6209.94
653,7011.16
654,7913.05
655,7984.56
656,7440.55
657,7012.72
658,6848.24
659,6785.02
660,6680.53
661,6743.9
662,6913.87
663,7395.97
664,8031.46
665,8383.8
666,8439.88
667,8119.33
668,7694.65
669,7423.2
670,7339.55
671,7163.88
672,6892.99
673,6395.67
674,6085.83
675,6025.86
676,6280.37
677,6982.46
678,7860.91
679,8051.26
680,7556.03
681,7091.75
682,6738.98
683,6536.23
684,6615.54
685,6573.72
686,6534.38
687,6990.36
688,7591.96
689,8182.93
690,8397.63
691,8127.33
692,7686.83
693,7445.03
694,7269.74
695,7118.7
696,6866.18
697,6401.72
698,6041.91
699,6016.57
700,6232.34
701,6944.04
702,7852.56
703,8011.7
704,7437.52
705,6966.3
706,6580.5
707,6561.37
708,6581.92
709,6408.09
710,6534.81
711,6996.89
712,7663.23
713,8225.69
714,8408.25
715,8118.24
716,7766.43
717,7468.5
718,7397.18
719,7253.02
720,7012.0
721,6495.25
722,6179.93
723,6110.07
724,6408.53
725,7105.33
726,7932.95
727,7973.15
728,7410.88
729,7069.51
730,6840.95
731,6924.77
732,6926.54
733,6940.01
734,6978.42
735,7404.24
736,7821.53
737,8224.04
738,8421.34
739,8153.32
740,7751.48
741,7540.89
742,7355.2
743,7180.46
744,6919.16
745,6452.42
746,6043.99
747,5942.76
748,5916.68
749,6125.76
750,6381.79
751,6520.2
752,6334.7
753,6008.67
754,5770.6
755,5676.19
756,5576.21
757,5538.02
758,5754.59
759,6276.54
760,7012.94
761,7682.32
762,7871.8
763,7552.59
764,7245.26
765,7074.94
766,7113.48
767,6983.9
768,6734.97
769,6311.91
770,5942.66
771,5797.44
772,5854.05
773,6116.35
774,6482.31
775,6764.91
776,6644.87
777,6281.61
778,5902.82
779,5742.91
780,5657.92
781,5800.34
782,6059.83
783,6609.83
784,7255.46
785,7825.7
786,7977.12
787,7632.79
788,7351.8
789,7161.29
790,7048.34
791,6738.66
792,6518.1
793,6123.07
794,5814.37
795,5710.56
796,5694.38
797,5803.79
798,6012.42
799,6167.7
800,6171.68
801,6031.55
802,5786.53
803,5751.84
804,5717.07
805,5962.92
806,6327.16
807,6842.49
808,7414.19
809,7880.28
810,8164.26
811,7888.2
812,7529.26
813,7280.86
814,7102.54
815,6938.21
816,6627.23
817,6367.68
818,6026.23
819,5819.56
820,5791.03
821,5871.34
822,6128.6
823,6259.75
824,6329.1
825,6310.13
826,6408.18
827,6307.28
828,6388.64
829,6565.4
830,6818.74
831,7225.59
832,7811.33
833,8238.89
834,8482.67
835,8132.45
836,7644.41
837,7344.28
838,7267.17
839,7112.67
840,6974.62
841,6665.71
842,6203.02
843,5992.75
844,5967.87
845,6265.23
846,6928.01
847,7445.17
848,7652.47
849,7756.73
850,7853.17
851,7812.65
852,7836.82
853,7938.99
854,8082.18
855,8278.56
856,8572.82
857,8869.8
858,9111.8
859,8635.82
860,8095.31
861,7761.68
862,7589.4
863,7422.44
864,7230.35
865,6836.07
866,6412.82
867,6138.78
868,6117.6
869,6391.17
870,7098.08
871,7565.55
872,7647.35
873,7730.77
874,7749.75
875,7685.47
876,7568.7
877,7621.67
878,7758.8
879,8021.52
880,8436.98
881,8842.62
882,9131.89
883,8653.41
884,8172.06
885,7882.17
886,7704.76
887,7539.49
888,7311.43
889,6922.59
890,6457.07
891,6191.95
892,6164.46
